4.7110,-74.0721
6.2442,-75.5812
3.4516,-76.5320
10.9685,-74.7813
10.3910,-75.4794
7.1254,-73.1198
7.8891,-72.4967
4.4389,-75.2322
4.1420,-73.6266
5.0689,-75.5174
5.5353,-73.3678
4.8143,-75.6946
2.4448,-76.6147
2.9273,-75.2819
11.2408,-74.1990
8.7479,-75.8814
9.3047,-75.3978
7.9069,-72.5053
11.5444,-72.9072
1.2136,-77.2811
2.9273,-75.2819
5.0703,-75.5138
3.5430,-73.7580
1.6144,-75.6062
0.8280,-77.6319
3.8854,-77.0708
5.6947,-76.6611
7.3756,-72.6482
8.0926,-76.7282
8.5847,-75.9749
4.5339,-75.6811
6.1738, "python"
